year,month,day,event,isHoliday
1394,3,9,درگذشت فرانسوا-ماری آروئه با نام مستعار وُلتر,0
1394,3,9,زادروز برایان کبیلکا شیمیدان آمریکایی,0
1394,3,10,درگذشت یوزف هایدن,0
1394,3,10,درگذشت اواریست گالوا ریاضی‌دان فرانسوی,0
1394,3,11,درگذشت هلن کلر,0
1394,3,11,درگذشت جان دیویی فیلسوف آمریکایی قرن بیستم,0
1394,3,12,زادروز توماس هاردی,0
1394,3,12,زادروز مارکی دو ساد نویسنده و فیلسوف فرانسوی,0
1394,3,13,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,1
1394,3,13,زادروز آلن گینزبرگ شاعر آمریکایی,0
1394,3,14,رحلت حضرت امام خمینی,1
1394,3,14,درگذشت ماری کوری کاشف پولونیم و رادیوم,0
1394,3,14,درگذشت جاکومو کازانووا نویسنده ایتالیایی,0
1394,3,15,قیام 15 خرداد,1
1394,3,15,روز جهانی محیط زیست,0
1394,3,15,درگذشت شیخ بهایی دانشمند عصر صفوی,0
1394,3,16,زادروز کارل فردیناند برون مخترع,0
1394,3,16,درگذشت گرهارد هاوپتمان نمایشنامه‌نویس آلمانی,0
1394,3,17,زادروز فیلیپ لنارت فیزیکدان آلمانی مجاری‌تبار,0
1394,3,17,زادروز اورهان پاموک رمان‌نویس اهل کشور ترکیه,0
1394,3,18,زادروز فرانسیس کریک,0
1394,3,18,درگذشت ژرژ ساند رمان‌نویس,0
1394,3,19,زادروز برتا سوتنر رمان‌نویس,0
1394,3,19,درگذشت آدولف وینداوس شیمیدان,0
1394,3,20,روز جهانی صنایع دستی,0
1394,3,20,زادروز گوستاو کوربه نقاش فرانسوی,0
1394,3,21,زادروز ریشارد اشتراوس,0
1394,3,21,درگذشت کلمنس ونتسل فون مترنیخ سیاستمدار اتریشی,0
1394,3,22,روز جهانی مبارزه با کار کودکان,0
1394,3,22,زادروز اگون شیله نقاش اتریشی,0
1394,3,23,درگذشت ویلیام نولز شیمیدان آمریکایی,0
1394,3,23,زادروز جان فوربز نش ریاضیدان آمریکایی,0
1394,3,24,روز جهانی اهدای خون,0
1394,3,25,روز ملی گل وگیاه,0
1394,3,25,درگذشت وندل مردیت استنلی بیوشیمیست و ویروس‌شناس آمریکایی,0
1394,3,26,زادروز توران میرهادی استاد ادبیات کودک,0
1394,3,26,زادروز باربارا مک‌کلینتوک دانشمند آمریکایی,0
1394,3,27,روز جهاد کشاورزی,0
1394,3,27,روز جهانی بیابان زدایی,0
1394,3,27,درگذشت جلیل شهناز,0
1394,3,28,درگذشت پل کارر شیمیدان سوئیسی,0
1394,3,28,زادروز چارلز لاورن زیست‌شناس فرانسوی,0
1394,3,29,درگذشت دکتر علی شریعتی,0
1394,3,29,زادروز آنگ سان سو چی فعال سیاسی,0
1394,3,29,درگذشت ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی,0
