year,month,day,event,isHoliday
1396,2,10,زادروز کارل فریدریش گاوس ریاضیدان مشهور آلمانی,0
1396,2,11,روزجهانی  کارگر,0
1396,2,11,ولادت ابوالفضل العباس علیه السلام و روز جانباز,0
1396,2,11,انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»,0
1396,2,12,شهادت استاد مرتضی مطهری، روزمعلم,0
1396,2,12,ولادت امام زین العابدین علیه السلام,0
1396,2,12,درگذشت محمدرضا لطفی، نوازندهٔ برجسته و سرشناس تار، سه‌تار و ردیف‌دان، موسیقی‌دان و آهنگساز,0
1396,2,12,درگذشت لئوناردو داوینچی، دانشمند و هنرمند ایتالیایی دورهٔ رنسانس,0
1396,2,13,زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل سال ۱۹۳۷,0
1396,2,13,زادروز آلفرد کاستلر فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۶,0
1396,2,14,زادروزخواجه عبدالله انصاری، ادیب، عارف و اندیشمند ایرانی,0
1396,2,15,جشن میانه بهار,0
1396,2,15,روز جهانی ماما,0
1396,2,15,زادروز غلامحسین بنان، خوانندهٔ ایرانی,0
1396,2,16,درگذشت حسین منزوی شاعر نامدار ایرانی,0
1396,2,17,روز اسناد ملی و میراث مکتوب,0
1396,2,17,رابیندرانات تاگور شاعر، نویسنده، نقاش و آهنگساز بنگالی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۳,0
1396,2,17,درگذشت ویلارد بویل فیزیکدان کانادایی، برندهٔ جایزه نوبل فیزیک سال ۲۰۰۹,0
1396,2,18,روز جهانی صلیب سرخ و هلال احمر,0
1396,2,18,ولادت علی اکبر علیه السلام و روز جوان,0
1396,2,19,درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۰۷,0
1396,2,20,درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی,0
1396,2,20,نلسون ماندلا، پس از پیروزی در انتخابات، نخستین رئیس‌جمهور سیاه‌پوست آفریقای جنوبی شد.,0
1396,2,21,زادروز فرنگیس یگانگی بنیان‌گذار و نخستین مدیرعامل سازمان صنایع دستی ایران,0
1396,2,22,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,1
1396,2,22,زادروز مریم میرزاخانی ریاضیدان ایرانی، اولین زن برندهٔ جایزه فیلدز,0
1396,2,22,روز جهانی زن در ریاضیات (به افتخار روز تولد مریم میرزاخانی),0
1396,2,23,درگذشت ژوزف هانری دانشمند و فیزیکدان سرشناس آمریکایی,0
1396,2,24,زادروز پرویز مشکاتیان آهنگساز، موسیقی‌دان و نوازندهٔ سنتور,0
1396,2,25,روز بزرگداشت فردوسی,0
1396,2,27,روز ارتباطات و روابط عمومی,0
1396,2,27,زادروز ادوارد جنر، پزشک انگلیسی، کاشف واکسن بیماری آبله,0
1396,2,28,روز بزرگداشت حکیم عمر خیام,0
1396,2,28,روز جهانی موزه و میراث فرهنگی,0
1396,2,28,زادروز برتراند راسل ریاضی‌دان، فیلسوف و نویسندهٔ انگلیسی,0
1396,2,29,زادروز ناتانیل هاثورن نویسنده آمریکایی,0
1396,2,29,زادروز یوهان گوتلیب فیشته فیلسوف ایدئالیست آلمانی,0
1396,2,30,زادروز جان استوارت‌میل، فیلسوف و اقتصاددان انگلیسی,0
1396,2,30,درگذشت کریستف کلمب، دریانورد و کاشف ایتالیایی,0
1396,3,1,روز بهره وری و بهینه سازی مصرف,0
1396,3,1,روز بزرگداشت ملاصدرا,0
1396,3,1,زادروز جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران,0
1396,3,1,درگذشت ویکتور هوگو شاعر و رمان‌نویس فرانسوی، خالق بینوایان,0
1396,3,2,درگذشت هنریک ایبسن شاعر، نمایش‌نامه‌نویس و درام‌نویس نروژی,0
1396,3,3,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,0
1396,3,4,روز دزفول، روز مقاومت و پایداری,0
1396,3,4,زادروز ریموند کارور، نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی,0
1396,3,5,درگذشت هوشنگ سیحون معمار، طراح، نقاش و مجسمه‌ساز ایرانی,0
1396,3,6,خرداد روز،جشن خردادگان,0
1396,3,6,پل گلدن گیت، که در زمان تکمیل، طولانی‌ترین پل معلق دنیا محسوب می‌شد، گشایش یافت.,0
1396,3,6,درگذشت ارنست روسکا فیزیکدان آلمانی، مخترع میکروسکوپ الکترونی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۶,0
1396,3,7,زادروز پاتریک وایت نویسنده اهل کشور استرالیا، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۳,0
1396,3,7,درگذشت ایلیا پریگوژین شیمی فیزیکدان روسی، برندهٔ جایزه نوبل شیمی سال ۱۹۷۷,0
1396,3,8,زادروز پیتر هیگز فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۲۰۱۳,0
1396,3,8,درگذشت خوآن رامون خیمنس شاعر اسپانیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۶,0
1396,3,9,درگذشت فرانسوا-ماری آروئه با نام مستعار وُلتر، فیلسوف و نویسنده فرانسوی,0
1396,3,9,زادروز برایان کبیلکا شیمیدان آمریکایی، برنده جایزه نوبل شیمی سال ۲۰۱۲,0
1396,3,10,درگذشت یوزف هایدن، موسیقی‌دان و آهنگ‌ساز اتریشی,0
1396,3,10,درگذشت اواریست گالوا ریاضی‌دان فرانسوی، واضع نظریهٔ گروه در علم جبر,0
1396,3,11,درگذشت هلن کلر، نویسنده و معلم نابینا و ناشنوای آمریکایی,0
1396,3,11,درگذشت جان دیویی فیلسوف آمریکایی قرن بیستم، از پیشتازان عمل‌گرایی,0
1396,3,12,زادروز توماس هاردی، رمان‌نویس و شاعر انگلیسی,0
1396,3,12,زادروز مارکی دو ساد نویسنده و فیلسوف فرانسوی,0
1396,3,13,زادروز آلن گینزبرگ شاعر آمریکایی، خالق شعر زوزه، از پایه‌گذاران نسل بیت,0
1396,3,14,رحلت حضرت امام خمینی,1
1396,3,14,درگذشت ماری کوری کاشف پولونیم و رادیوم,0
1396,3,14,درگذشت جاکومو کازانووا نویسنده ایتالیایی,0
1396,3,15,قیام 15 خرداد,1
1396,3,15,روز جهانی محیط زیست,0
1396,3,15,درگذشت شیخ بهایی دانشمند عصر صفوی,0
1396,3,16,زادروز کارل فردیناند برون مخترع، فیزیکدان، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹,0
