event,event_key
زادروز کارل اشپیتلر شاعر سوئیسی آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۹,زادروز کارل اشپیتلر شاعر سوئیسی آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۹
درگذشت ماکس فون لائو فیزیک‌دان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۴,درگذشت ماکس فون لائو فیزیک‌دان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۴
زادروز گولیلمو مارکونی مهندس برق ایتالیایی، برندهٔ جایزه نوبل فیزیک,زادروز گولیلمو مارکونی مهندس برق ایتالیایی، برندهٔ جایزه نوبل فیزیک
زادروز جلیل ضیاءپور، پدر نقاشی مدرن ایران,زادروز جلیل ضیاءپور، پدر نقاشی مدرن ایران
درگذشت بیورنستیرن بیورنسون نویسندهٔ نروژی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۳,درگذشت بیورنستیرن بیورنسون نویسندهٔ نروژی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۳
درگذشت کارل بوش شیمی‌دان و مهندس آلمانی، برندهٔ جایزه نوبل شیمی۱۹۳۱,درگذشت کارل بوش شیمی‌دان و مهندس آلمانی، برندهٔ جایزه نوبل شیمی۱۹۳۱
درگذشت رالف والدو امرسون فیلسوف و نویسندهٔ آمریکایی,درگذشت رالف والدو امرسون فیلسوف و نویسندهٔ آمریکایی
زادروز سیمین دانشور نویسنده و مترجم ایرانی,زادروز سیمین دانشور نویسنده و مترجم ایرانی
روزشوراها,روزشوراها
ولادت حضرت معصومه سلام الله علیها و روز دختران,ولادت حضرت معصومه سلام الله علیها و روز دختران
روز جهانی روانشناس و مشاور,روز جهانی روانشناس و مشاور
درگذشت ذبیح‌الله صفا، پژوهشگر، مترجم و استاد ممتاز دانشگاه تهران,درگذشت ذبیح‌الله صفا، پژوهشگر، مترجم و استاد ممتاز دانشگاه تهران
جشن چهلم نوروز؛ روز ملی خلیج فارس,جشن چهلم نوروز؛ روز ملی خلیج فارس
زادروز کارل فریدریش گاوس ریاضیدان مشهور آلمانی,زادروز کارل فریدریش گاوس ریاضیدان مشهور آلمانی
روزجهانی  کارگر,روزجهانی  کارگر
انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»,انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»
شهادت استاد مرتضی مطهری، روزمعلم,شهادت استاد مرتضی مطهری، روزمعلم
درگذشت محمدرضا لطفی، نوازندهٔ برجسته و سرشناس تار، سه‌تار و ردیف‌دان، موسیقی‌دان و آهنگساز,درگذشت محمدرضا لطفی، نوازندهٔ برجسته و سرشناس تار، سه‌تار و ردیف‌دان، موسیقی‌دان و آهنگساز
درگذشت لئوناردو داوینچی، دانشمند و هنرمند ایتالیایی دورهٔ رنسانس,درگذشت لئوناردو داوینچی، دانشمند و هنرمند ایتالیایی دورهٔ رنسانس
زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل سال ۱۹۳۷,زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل سال ۱۹۳۷
زادروز آلفرد کاستلر فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۶,زادروز آلفرد کاستلر فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۶
زادروزخواجه عبدالله انصاری، ادیب، عارف و اندیشمند ایرانی,زادروزخواجه عبدالله انصاری، ادیب، عارف و اندیشمند ایرانی
جشن میانه بهار,جشن میانه بهار
روز جهانی ماما,روز جهانی ماما
زادروز غلامحسین بنان، خوانندهٔ ایرانی,زادروز غلامحسین بنان، خوانندهٔ ایرانی
درگذشت حسین منزوی شاعر نامدار ایرانی,درگذشت حسین منزوی شاعر نامدار ایرانی
روز اسناد ملی و میراث مکتوب,روز اسناد ملی و میراث مکتوب
رابیندرانات تاگور شاعر، نویسنده، نقاش و آهنگساز بنگالی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۳,رابیندرانات تاگور شاعر، نویسنده، نقاش و آهنگساز بنگالی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۳
درگذشت ویلارد بویل فیزیکدان کانادایی، برندهٔ جایزه نوبل فیزیک سال ۲۰۰۹,درگذشت ویلارد بویل فیزیکدان کانادایی، برندهٔ جایزه نوبل فیزیک سال ۲۰۰۹
روز جهانی صلیب سرخ و هلال احمر,روز جهانی صلیب سرخ و هلال احمر
ولادت امام  رضا علیه السلام,ولادت امام  رضا علیه السلام
درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۰۷,درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۰۷
درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی,درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی
نلسون ماندلا، پس از پیروزی در انتخابات، نخستین رئیس‌جمهور سیاه‌پوست آفریقای جنوبی شد.,نلسون ماندلا، پس از پیروزی در انتخابات، نخستین رئیس‌جمهور سیاه‌پوست آفریقای جنوبی شد.
زادروز فرنگیس یگانگی بنیان‌گذار و نخستین مدیرعامل سازمان صنایع دستی ایران,زادروز فرنگیس یگانگی بنیان‌گذار و نخستین مدیرعامل سازمان صنایع دستی ایران
زادروز مریم میرزاخانی ریاضیدان ایرانی، اولین زن برندهٔ جایزه فیلدز,زادروز مریم میرزاخانی ریاضیدان ایرانی، اولین زن برندهٔ جایزه فیلدز
روز جهانی زن در ریاضیات (به افتخار روز تولد مریم میرزاخانی),روز جهانی زن در ریاضیات (به افتخار روز تولد مریم میرزاخانی)
درگذشت ژوزف هانری دانشمند و فیزیکدان سرشناس آمریکایی,درگذشت ژوزف هانری دانشمند و فیزیکدان سرشناس آمریکایی
زادروز پرویز مشکاتیان آهنگساز، موسیقی‌دان و نوازندهٔ سنتور,زادروز پرویز مشکاتیان آهنگساز، موسیقی‌دان و نوازندهٔ سنتور
روز بزرگداشت فردوسی,روز بزرگداشت فردوسی
روز ارتباطات و روابط عمومی,روز ارتباطات و روابط عمومی
زادروز ادوارد جنر، پزشک انگلیسی، کاشف واکسن بیماری آبله,زادروز ادوارد جنر، پزشک انگلیسی، کاشف واکسن بیماری آبله
روز بزرگداشت حکیم عمر خیام,روز بزرگداشت حکیم عمر خیام
روز جهانی موزه و میراث فرهنگی,روز جهانی موزه و میراث فرهنگی
زادروز برتراند راسل ریاضی‌دان، فیلسوف و نویسندهٔ انگلیسی,زادروز برتراند راسل ریاضی‌دان، فیلسوف و نویسندهٔ انگلیسی
زادروز ناتانیل هاثورن نویسنده آمریکایی,زادروز ناتانیل هاثورن نویسنده آمریکایی
زادروز یوهان گوتلیب فیشته فیلسوف ایدئالیست آلمانی,زادروز یوهان گوتلیب فیشته فیلسوف ایدئالیست آلمانی
زادروز جان استوارت‌میل، فیلسوف و اقتصاددان انگلیسی,زادروز جان استوارت‌میل، فیلسوف و اقتصاددان انگلیسی
درگذشت کریستف کلمب، دریانورد و کاشف ایتالیایی,درگذشت کریستف کلمب، دریانورد و کاشف ایتالیایی
روز بهره وری و بهینه سازی مصرف,روز بهره وری و بهینه سازی مصرف
روز بزرگداشت ملاصدرا,روز بزرگداشت ملاصدرا
زادروز جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران,زادروز جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران
درگذشت ویکتور هوگو شاعر و رمان‌نویس فرانسوی، خالق بینوایان,درگذشت ویکتور هوگو شاعر و رمان‌نویس فرانسوی، خالق بینوایان
درگذشت هنریک ایبسن شاعر، نمایش‌نامه‌نویس و درام‌نویس نروژی,درگذشت هنریک ایبسن شاعر، نمایش‌نامه‌نویس و درام‌نویس نروژی
فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی
روز دزفول، روز مقاومت و پایداری,روز دزفول، روز مقاومت و پایداری
زادروز ریموند کارور، نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی,زادروز ریموند کارور، نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی
درگذشت هوشنگ سیحون معمار، طراح، نقاش و مجسمه‌ساز ایرانی,درگذشت هوشنگ سیحون معمار، طراح، نقاش و مجسمه‌ساز ایرانی
خرداد روز،جشن خردادگان,خرداد روز،جشن خردادگان
پل گلدن گیت، که در زمان تکمیل، طولانی‌ترین پل معلق دنیا محسوب می‌شد، گشایش یافت.,پل گلدن گیت، که در زمان تکمیل، طولانی‌ترین پل معلق دنیا محسوب می‌شد، گشایش یافت.
درگذشت ارنست روسکا فیزیکدان آلمانی، مخترع میکروسکوپ الکترونی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۶,درگذشت ارنست روسکا فیزیکدان آلمانی، مخترع میکروسکوپ الکترونی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۶
زادروز پاتریک وایت نویسنده اهل کشور استرالیا، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۳,زادروز پاتریک وایت نویسنده اهل کشور استرالیا، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۳
درگذشت ایلیا پریگوژین شیمی فیزیکدان روسی، برندهٔ جایزه نوبل شیمی سال ۱۹۷۷,درگذشت ایلیا پریگوژین شیمی فیزیکدان روسی، برندهٔ جایزه نوبل شیمی سال ۱۹۷۷
زادروز پیتر هیگز فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۲۰۱۳,زادروز پیتر هیگز فیزیک‌دان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۲۰۱۳
درگذشت خوآن رامون خیمنس شاعر اسپانیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۶,درگذشت خوآن رامون خیمنس شاعر اسپانیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۶
درگذشت فرانسوا-ماری آروئه با نام مستعار وُلتر، فیلسوف و نویسنده فرانسوی,درگذشت فرانسوا-ماری آروئه با نام مستعار وُلتر، فیلسوف و نویسنده فرانسوی
زادروز برایان کبیلکا شیمیدان آمریکایی، برنده جایزه نوبل شیمی سال ۲۰۱۲,زادروز برایان کبیلکا شیمیدان آمریکایی، برنده جایزه نوبل شیمی سال ۲۰۱۲
درگذشت یوزف هایدن، موسیقی‌دان و آهنگ‌ساز اتریشی,درگذشت یوزف هایدن، موسیقی‌دان و آهنگ‌ساز اتریشی
درگذشت اواریست گالوا ریاضی‌دان فرانسوی، واضع نظریهٔ گروه در علم جبر,درگذشت اواریست گالوا ریاضی‌دان فرانسوی، واضع نظریهٔ گروه در علم جبر
درگذشت هلن کلر، نویسنده و معلم نابینا و ناشنوای آمریکایی,درگذشت هلن کلر، نویسنده و معلم نابینا و ناشنوای آمریکایی
درگذشت جان دیویی فیلسوف آمریکایی قرن بیستم، از پیشتازان عمل‌گرایی,درگذشت جان دیویی فیلسوف آمریکایی قرن بیستم، از پیشتازان عمل‌گرایی
زادروز توماس هاردی، رمان‌نویس و شاعر انگلیسی,زادروز توماس هاردی، رمان‌نویس و شاعر انگلیسی
زادروز مارکی دو ساد نویسنده و فیلسوف فرانسوی,زادروز مارکی دو ساد نویسنده و فیلسوف فرانسوی
شهادت امام محمد باقر علیه السلام,شهادت امام محمد باقر علیه السلام
زادروز آلن گینزبرگ شاعر آمریکایی، خالق شعر زوزه، از پایه‌گذاران نسل بیت,زادروز آلن گینزبرگ شاعر آمریکایی، خالق شعر زوزه، از پایه‌گذاران نسل بیت
رحلت حضرت امام خمینی,رحلت حضرت امام خمینی
درگذشت ماری کوری کاشف پولونیم و رادیوم,درگذشت ماری کوری کاشف پولونیم و رادیوم
درگذشت جاکومو کازانووا نویسنده ایتالیایی,درگذشت جاکومو کازانووا نویسنده ایتالیایی
قیام ۱۵ خرداد,قیام 15 خرداد
روز جهانی محیط زیست,روز جهانی محیط زیست
روز عرفه,روز عرفه
درگذشت شیخ بهایی دانشمند عصر صفوی,درگذشت شیخ بهایی دانشمند عصر صفوی
عید سعید قربان,عید سعید قربان
زادروز کارل فردیناند برون مخترع، فیزیکدان، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹,زادروز کارل فردیناند برون مخترع، فیزیکدان، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹
