event,event_key
روز دامپزشکی,روز دامپزشکی
ترور محمد انور سادات، سومین رئیس جمهور مصر و برندهٔ جایزه صلح نوبل، توسط سازمان اسلام‌گرای جهاد اسلامی مصر,ترور محمد انور سادات، سومین رئیس جمهور مصر و برندهٔ جایزه صلح نوبل، توسط سازمان اسلام‌گرای جهاد اسلامی مصر
آغاز جنگ یوم کیپور و حمله ارتش‌های مصر و سوریه از دو جبهه به اسرائیل,آغاز جنگ یوم کیپور و حمله ارتش‌های مصر و سوریه از دو جبهه به اسرائیل
تأسیس انجمن جهانی قلم در لندن,تأسیس انجمن جهانی قلم در لندن
افتتاح کاباره پرآوازه‌ی «مولن‌روژ» در پاریس,افتتاح کاباره پرآوازه‌ی «مولن‌روژ» در پاریس
زادروز ولادیمیر پوتین دومین رئیس جمهور کشور روسیه بعد از فروپاشی اتحاد جماهیر شوروی,زادروز ولادیمیر پوتین دومین رئیس جمهور کشور روسیه بعد از فروپاشی اتحاد جماهیر شوروی
زادروز هاینریش هیملر فرمانده اِس اِس و از مردان مقتدر آلمان نازی و مسئول اصلی هولوکاست,زادروز هاینریش هیملر فرمانده اِس اِس و از مردان مقتدر آلمان نازی و مسئول اصلی هولوکاست
حمله‌ی ارتش ایالات متحده آمریکا به افغانستان با هدف براندازی حکومت طالبان و دستگیری اعضای القاعده,حمله‌ی ارتش ایالات متحده آمریکا به افغانستان با هدف براندازی حکومت طالبان و دستگیری اعضای القاعده
روز ملی کودک,روز ملی کودک
آتش‌سوزی بزرگ شهر شیکاگو و سوختن ۱۷٬۴۵۰ خانه با ۲۵۰ تن کشته و ۹۰٬۰۰۰ نفر بی‌خانمان,آتش‌سوزی بزرگ شهر شیکاگو و سوختن ۱۷٬۴۵۰ خانه با ۲۵۰ تن کشته و ۹۰٬۰۰۰ نفر بی‌خانمان
اعلان جنگ کشور مونته نگرو به امپراتوری عثمانی و آغاز جنگ اول بالکان,اعلان جنگ کشور مونته نگرو به امپراتوری عثمانی و آغاز جنگ اول بالکان
زادروز اتو واربورگ زیست‌شناس آلمانی، برندهٔ جایزه نوبل پزشکی سال ۱۹۳۱ به خاطر کشف مکانیزم آنزیم,زادروز اتو واربورگ زیست‌شناس آلمانی، برندهٔ جایزه نوبل پزشکی سال ۱۹۳۱ به خاطر کشف مکانیزم آنزیم
روز جهانی پست,روز جهانی پست
اعدام ارنستو چه‌گوارا توسط سربازان ارتش بولیوی به جرم تحریک برای برپایی یک انقلاب در بولیوی,اعدام ارنستو چه‌گوارا توسط سربازان ارتش بولیوی به جرم تحریک برای برپایی یک انقلاب در بولیوی
اعطای جایزه نوبل صلح به آندره ساخاروف دانشمند شوروی و معروف به «پدر بمب هیدروژنی»,اعطای جایزه نوبل صلح به آندره ساخاروف دانشمند شوروی و معروف به «پدر بمب هیدروژنی»
نخستین انتخابات ریاست جمهوری مردم افغانستان پس از سقوط حکومت طالبان,نخستین انتخابات ریاست جمهوری مردم افغانستان پس از سقوط حکومت طالبان
زادروز جان لنون خواننده، آهنگساز و فعال صلح‌طلب عضو گروه معروف بیتلز,زادروز جان لنون خواننده، آهنگساز و فعال صلح‌طلب عضو گروه معروف بیتلز
زادروز هرمان امیل فیشر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۰۲,زادروز هرمان امیل فیشر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۰۲
زادروز ماکس فون لائو فیزیک‌دان آلمانی، برندهٔ جایزه فیزیک نوبل برای کشف پراش در پرتوهای ایکس در بلورها,زادروز ماکس فون لائو فیزیک‌دان آلمانی، برندهٔ جایزه فیزیک نوبل برای کشف پراش در پرتوهای ایکس در بلورها
روز جهانی مبارزه با حکم اعدام,روز جهانی مبارزه با حکم اعدام
استقلال کشور فیجی از انگلستان,استقلال کشور فیجی از انگلستان
درگذشت اورسن ولز کارگردان، فیلم‌نامه‌نویس، هنرپیشه و تهیه‌کننده آمریکایی,درگذشت اورسن ولز کارگردان، فیلم‌نامه‌نویس، هنرپیشه و تهیه‌کننده آمریکایی
کشف تریتون، بزرگترین ماه طبیعی نپتون توسط ویلیام لاسل,کشف تریتون، بزرگترین ماه طبیعی نپتون توسط ویلیام لاسل
روز جهانی دختر,روز جهانی دختر
نخستین مأموریت همراه با آدم برنامه آپولو ناسا  از پایگاه پرتاب ۳۴ در دماغه کاناورال ایالت فلوریدا در ایالات متحده آمریکا,نخستین مأموریت همراه با آدم برنامه آپولو ناسا  از پایگاه پرتاب ۳۴ در دماغه کاناورال ایالت فلوریدا در ایالات متحده آمریکا
گشایش دانشگاه سیدنی، قدیمی‌ترین دانشگاه استرالیا,گشایش دانشگاه سیدنی، قدیمی‌ترین دانشگاه استرالیا
زادروز آمیتاب باچان بازیگر، تهیه کننده، خواننده و مجری تلویزیونی هندی,زادروز آمیتاب باچان بازیگر، تهیه کننده، خواننده و مجری تلویزیونی هندی
درگذشت جیمز ژول فیزیکدان انگلیسی,درگذشت جیمز ژول فیزیکدان انگلیسی
روز بزرگداشت حافظ,روز بزرگداشت حافظ
درگذشت دنیس ریچی  نویسنده زبان برنامه‌نویسی C و سیستم عامل UNIX,درگذشت دنیس ریچی  نویسنده زبان برنامه‌نویسی C و سیستم عامل UNIX
زادروز لوچیانو پاواروتی خوانندهٔ اپرا اهل ایتالیا,زادروز لوچیانو پاواروتی خوانندهٔ اپرا اهل ایتالیا
افتتاحیه بازی‌های المپیک تابستانی ۱۹۶۸ مکزیکوسیتی,افتتاحیه بازی‌های المپیک تابستانی ۱۹۶۸ مکزیکوسیتی
جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون
شروع ساخت کاخ سفید، محل کار و زندگی دائمی رئیس جمهور ایالات متحده آمریکا در واشنگتن دی‌سی,شروع ساخت کاخ سفید، محل کار و زندگی دائمی رئیس جمهور ایالات متحده آمریکا در واشنگتن دی‌سی
زادروز مارگارت تاچر نخست وزیر پادشاهی متحده بریتانیا و ایرلند شمالی بین سال‌های ۱۹۷۹ تا ۱۹۹۰ میلادی,زادروز مارگارت تاچر نخست وزیر پادشاهی متحده بریتانیا و ایرلند شمالی بین سال‌های ۱۹۷۹ تا ۱۹۹۰ میلادی
تأسیس تووا یکی از جمهوری‌های خودمختار روسیه در جنوب سیبری,تأسیس تووا یکی از جمهوری‌های خودمختار روسیه در جنوب سیبری
روز جهانی استاندارد,روز جهانی استاندارد
شکستن دیوار صوتی توسط یک خلبان آمریکایی برای نخستین بار با سرعتی بیشتر از سرعت صوت,شکستن دیوار صوتی توسط یک خلبان آمریکایی برای نخستین بار با سرعتی بیشتر از سرعت صوت
درگذشت اروین رومل فرماندهٔ نیروهای آلمانی، ملقب به «روباه صحرا»,درگذشت اروین رومل فرماندهٔ نیروهای آلمانی، ملقب به «روباه صحرا»
ورود رسمی بلغارستان به جنگ جهانی اول به طرفداری از آلمان و اتریش,ورود رسمی بلغارستان به جنگ جهانی اول به طرفداری از آلمان و اتریش
روز جهانی عصای سفید,روز جهانی عصای سفید
پرتاب نخستین فضاپیمای سرنشین دار چین به فضا بنام «شنزو ۵»,پرتاب نخستین فضاپیمای سرنشین دار چین به فضا بنام «شنزو ۵»
زادروز فریدریش نیچه دانش‌پژوه و فیلسوف آلمانی,زادروز فریدریش نیچه دانش‌پژوه و فیلسوف آلمانی
درگذشت آندرئاس وزالیوس پزشک برجستهٔ بلژیکی,درگذشت آندرئاس وزالیوس پزشک برجستهٔ بلژیکی
زادروز خاچاطور آبوویان نویسنده، شاعر و نقاش ارمنستانی و پدر ادبیات مدرن ارمنی,زادروز خاچاطور آبوویان نویسنده، شاعر و نقاش ارمنستانی و پدر ادبیات مدرن ارمنی
روز جهانی غذا,روز جهانی غذا
چین نخستین بمب اتمی خود را آزمایش کرد و به پنجمین قدرت اتمی دنیا تبدیل شد.,چین نخستین بمب اتمی خود را آزمایش کرد و به پنجمین قدرت اتمی دنیا تبدیل شد.
زادروز یوجین اونیل نمایشنامه‌نویس برجستهٔ آمریکایی، برندهٔ جایزهٔ ادبی نوبل سال ۱۹۳۶,زادروز یوجین اونیل نمایشنامه‌نویس برجستهٔ آمریکایی، برندهٔ جایزهٔ ادبی نوبل سال ۱۹۳۶
درگذشت جورج مارشال ، برندهٔ جایزه صلح نوبل سال ۱۹۵۳ به خاطر ارائه طرح مارشال,درگذشت جورج مارشال ، برندهٔ جایزه صلح نوبل سال ۱۹۵۳ به خاطر ارائه طرح مارشال
روز جهانی ریشه کنی فقر,روز جهانی ریشه کنی فقر
حضور گروه موسیقی بیتلز برای نخستین بار در یک برنامه زنده تلویزیونی در شبکه «گِرِنادا» در شهر منچستر انگلستان,حضور گروه موسیقی بیتلز برای نخستین بار در یک برنامه زنده تلویزیونی در شبکه «گِرِنادا» در شهر منچستر انگلستان
درگذشت گوستاو کیرشهف فیزیکدان آلمانی,درگذشت گوستاو کیرشهف فیزیکدان آلمانی
شروع بکار وبگاه بانک اطلاعات اینترنتی فیلم‌ها (IMDB),شروع بکار وبگاه بانک اطلاعات اینترنتی فیلم‌ها (IMDB)
روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش
درگذشت توماس ادیسون,درگذشت توماس ادیسون
پرتاب فضاپیمای گالیله به فضا,پرتاب فضاپیمای گالیله به فضا
زادروز ابراهیم گلستان کارگردان، نخستین برندهٔ یک جایزه بین‌المللی برای سینمای ایران,زادروز ابراهیم گلستان کارگردان، نخستین برندهٔ یک جایزه بین‌المللی برای سینمای ایران
زادروز آنری برگسونفیلسوف وادیب مشهور فرانسوی، برندهٔ جایزه نوبل ادبیات سال۱۹۲۷,زادروز آنری برگسونفیلسوف وادیب مشهور فرانسوی، برندهٔ جایزه نوبل ادبیات سال۱۹۲۷
درگذشت سانتیاگو رامون کاخال‏ زیست‌شناس و پزشک اسپانیایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۶,درگذشت سانتیاگو رامون کاخال‏ زیست‌شناس و پزشک اسپانیایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۶
زادروز میگل آنخل آستوریاس شاعر و نویسندهٔ گواتمالائی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۷,زادروز میگل آنخل آستوریاس شاعر و نویسندهٔ گواتمالائی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۷
زادروز سابراهمانین چاندراسکار اخترفیزیک‌دان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۳,زادروز سابراهمانین چاندراسکار اخترفیزیک‌دان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۳
نخستین فرود هواپیمای کنکورد، در شهر نیویورک,نخستین فرود هواپیمای کنکورد، در شهر نیویورک
زادروز جان دیویی از معروفترین فیلسوفان آمریکایی قرن بیستم، از پیشتازان عمل گرایی (پراگماتیسم),زادروز جان دیویی از معروفترین فیلسوفان آمریکایی قرن بیستم، از پیشتازان عمل گرایی (پراگماتیسم)
درگذشت برت لنکستر بازیگر و تهیه‌کنندهٔ آمریکایی، برندهٔ جایزه اسکار,درگذشت برت لنکستر بازیگر و تهیه‌کنندهٔ آمریکایی، برندهٔ جایزه اسکار
درگذشت پل دیراک فیزیکدان و ریاضیدان بریتانیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۳، از پایه گذاران مکانیک کوانتومی,درگذشت پل دیراک فیزیکدان و ریاضیدان بریتانیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۳، از پایه گذاران مکانیک کوانتومی
اعدام سرهنگ عزت‌الله سیامک به همراه ۹ تن دیگر به عنوان اولین گروه از افسران حزب توده بعد از ماجرای ۲۸ مرداد,اعدام سرهنگ عزت‌الله سیامک به همراه 9 تن دیگر به عنوان اولین گروه از افسران حزب توده بعد از ماجرای 28 مرداد
زادروز جیمز چدویک فیزیکدان بریتانیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۵ بدلیل کشف نوترون,زادروز جیمز چدویک فیزیکدان بریتانیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۵ بدلیل کشف نوترون
اختراع لامپ برق توسط توماس ادیسون,اختراع لامپ برق توسط توماس ادیسون
زادروز آلفرد نوبل ، شیمی‌دان سوئدی، مخترع دینامیت، بنیان‌گذار جایزه نوبل,زادروز آلفرد نوبل ، شیمی‌دان سوئدی، مخترع دینامیت، بنیان‌گذار جایزه نوبل
توافق اتمی کره شمالی و ایالات متحده آمریکا بر سر متوقف کردن ساخت جنگ‌افزار هسته‌ای,توافق اتمی کره شمالی و ایالات متحده آمریکا بر سر متوقف کردن ساخت جنگ‌افزار هسته‌ای
زادروز آلفونس دولامارتین شاعر، نویسنده و سیاست‌مدار فرانسوی,زادروز آلفونس دولامارتین شاعر، نویسنده و سیاست‌مدار فرانسوی
روز ملی کوهنورد,روز ملی کوهنورد
ساخت نخستین ماشین فتوکپی با نام زیراکس,ساخت نخستین ماشین فتوکپی با نام زیراکس
زادروز کلینتون دیویسون فیزیکدان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۳۷,زادروز کلینتون دیویسون فیزیکدان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۳۷
زادروز ایوان الکسیویچ بونین نویسنده و شاعر روس، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۳,زادروز ایوان الکسیویچ بونین نویسنده و شاعر روس، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۳
درگذشت آلبرت سنت-گیورگی ، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۳۷,درگذشت آلبرت سنت-گیورگی ، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۳۷
روز آمار و برنامه ریزی,روز آمار و برنامه ریزی
آغاز کار نخستین فرستنده تلویزیون دولتی ایران، به نام «شبکه ملی»,آغاز کار نخستین فرستنده تلویزیون دولتی ایران، به نام «شبکه ملی»
زادروز په له بازیکن سابق تیم ملی فوتبال برزیل ، برترین بازیکن فوتبال جهان,زادروز په له بازیکن سابق تیم ملی فوتبال برزیل ، برترین بازیکن فوتبال جهان
درگذشت هربرت هاپتمن ریاضی‌دان آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۸۵,درگذشت هربرت هاپتمن ریاضی‌دان آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۸۵
درگذشت ادوارد دویسی زیست‌شیمیدان آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۳,درگذشت ادوارد دویسی زیست‌شیمیدان آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۳
تأسیس سازمان ملل متحد,تأسیس سازمان ملل متحد
سقوط وال‌استریت در سال ۱۹۲۹ سقوط بازار سهام در بازار بورس نیویورک,سقوط وال‌استریت در سال ۱۹۲۹ سقوط بازار سهام در بازار بورس نیویورک
درگذشت لوئی رنو صنعت‌گر فرانسوی، از بنیان‌گذاران شرکت خودرو سازی رنو,درگذشت لوئی رنو صنعت‌گر فرانسوی، از بنیان‌گذاران شرکت خودرو سازی رنو
زادروز اواریست گالوا ریاضیدان فرانسوی، واضع نظریه گروه در علم جبر,زادروز اواریست گالوا ریاضیدان فرانسوی، واضع نظریه گروه در علم جبر
درگذشت فریدون مشیری شاعر ایرانی,درگذشت فریدون مشیری شاعر ایرانی
زادروز پابلو پیکاسو نقاش، پیکرتراش، طراح صحنه و سرامیک‌کار مشهور اسپانیایی، خالق سبک کوبیسم,زادروز پابلو پیکاسو نقاش، پیکرتراش، طراح صحنه و سرامیک‌کار مشهور اسپانیایی، خالق سبک کوبیسم
درگذشت محمد بن عبداللّه بنیان‌گذار و پیامبر اسلام,درگذشت محمد بن عبداللّه بنیان‌گذار و پیامبر اسلام
قتل حسن مجتبی امام سوم شیعیان توسط جعده دختر اشعث بن قیس کندی,قتل حسن مجتبی امام سوم شیعیان توسط جعده دختر اشعث بن قیس کندی
درگذشت کارلو کلودی نویسندهٔ کودک و نوجوان اهل ایتالیا، خالق پینوکیو,درگذشت کارلو کلودی نویسندهٔ کودک و نوجوان اهل ایتالیا، خالق پینوکیو
ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز
زادروز جیمز کوک دریانورد و کاشف انگلیسی,زادروز جیمز کوک دریانورد و کاشف انگلیسی
زادروز نیکولو پاگانینی آهنگساز و نوازنده زبردست ویولون اهل ایتالیا,زادروز نیکولو پاگانینی آهنگساز و نوازنده زبردست ویولون اهل ایتالیا
درگذشت وازگن سارگسیان فرمانده نظامی و سیاستمدار ارمنستانی,درگذشت وازگن سارگسیان فرمانده نظامی و سیاستمدار ارمنستانی
هجرت محمد (ص) از مکه به مدینه و انتخاب این روز به عنوان مبدأ تاریخ مسلمانان در دو تقویم هجری شمسی و هجری قمری,هجرت محمد (ص) از مکه به مدینه و انتخاب این روز به عنوان مبدأ تاریخ مسلمانان در دو تقویم هجری شمسی و هجری قمری
تاسیس دانشگاه هاروارد نخستین مؤسسه آموزش عالی در آمریکا,تاسیس دانشگاه هاروارد نخستین مؤسسه آموزش عالی در آمریکا
زادروز جوناس سالک پزشک آمریکایی، کاشف واکسن فلج اطفال,زادروز جوناس سالک پزشک آمریکایی، کاشف واکسن فلج اطفال
زادروز ویلیام هنری گیتس سوم مشهور به بیل گیتس مدیر شرکت مایکروسافت,زادروز ویلیام هنری گیتس سوم مشهور به بیل گیتس مدیر شرکت مایکروسافت
سالروز ورود کوروش بزرگ به بابل,سالروز ورود کوروش بزرگ به بابل در سال 539 پیش از میلاد
روز کوروش بزرگ: کوروش بزرگ بنیانگذار امپراتوری هخامنشیان در ایران، شهر بابِل، بزرگترین شهر دنیای باستان و مرکز تمدن بابل را فتح کرد.,روز کوروش بزرگ: کوروش بزرگ بنیانگذار امپراتوری هخامنشیان در ایران، شهر بابِل، بزرگترین شهر دنیای باستان و مرکز تمدن بابل را فتح کرد.
زادروز الن جانسون سیرلیف رئیس جمهور لیبریا، برندهٔ جایزه صلح نوبل به همراه توکل کرمان,زادروز الن جانسون سیرلیف رئیس جمهور لیبریا، برندهٔ جایزه صلح نوبل به همراه توکل کرمان
درگذشت جوزف پولیتزر روزنامه‌نگار معروف آمریکایی، بنیانگذار جایزهٔ ادبی پولیتزر,درگذشت جوزف پولیتزر روزنامه‌نگار معروف آمریکایی، بنیانگذار جایزهٔ ادبی پولیتزر
روز نوجوان,روز نوجوان
زادروز تئودور هانش فیزیکدان آلمانی، از برندگان جایزه نوبل فیزیک سال ۲۰۰۵,زادروز تئودور هانش فیزیکدان آلمانی، از برندگان جایزه نوبل فیزیک سال ۲۰۰۵
زادروز آیدین آغداشلو نقاش، نویسنده، منتقد فیلم و طراح هنرمند ایرانی,زادروز آیدین آغداشلو نقاش، نویسنده، منتقد فیلم و طراح هنرمند ایرانی
درگذشت هنری دونانت تاجر و فعال اجتماعی سوئیسی، برندهٔ اولین جایزه صلح نوبل در سال ۱۹۰۱ به همراه فردریک پاسی,درگذشت هنری دونانت تاجر و فعال اجتماعی سوئیسی، برندهٔ اولین جایزه صلح نوبل در سال ۱۹۰۱ به همراه فردریک پاسی
ترور ایندیرا گاندی نخست وزیر و یکی از برجسته‌ترین و بحث‌برانگیزترین رهبران هند,ترور ایندیرا گاندی نخست وزیر و یکی از برجسته‌ترین و بحث‌برانگیزترین رهبران هند
زادروز جان کیتس شاعر برجستهٔ انگلیسی,زادروز جان کیتس شاعر برجستهٔ انگلیسی
درگذشت محمد زکریای رازی پزشک، فیلسوف و شیمیدان ایرانی.,درگذشت محمد زکریای رازی پزشک، فیلسوف و شیمیدان ایرانی.
آبان روز، جشن آبانگان,آبان روز، جشن آبانگان
ویلیام شکسپیر نمایشنامه «اُتلو» را برای نخستین بار در کاخ «وایت هال» لندن به روی صحنه آورد.,ویلیام شکسپیر نمایشنامه «اُتلو» را برای نخستین بار در کاخ «وایت هال» لندن به روی صحنه آورد.
زادروز رابرت لافلین فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک,زادروز رابرت لافلین فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک
درگذشت تئودور مومسن تاریخ‌دان، واژه‌شناس و نویسنده آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۲,درگذشت تئودور مومسن تاریخ‌دان، واژه‌شناس و نویسنده آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۲
درگذشت پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶,درگذشت پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶
زادروز جرج بول ، ریاضیدان و فیلسوف انگلیسی,زادروز جرج بول ، ریاضیدان و فیلسوف انگلیسی
زادروز میکائیل نالباندیان شاعر، نویسنده، اندیشمند سیاسی ارمنستانی و مبارز پرشور استقلال ارمنستان,زادروز میکائیل نالباندیان شاعر، نویسنده، اندیشمند سیاسی ارمنستانی و مبارز پرشور استقلال ارمنستان
درگذشت پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶,درگذشت پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶
اسپوتنیک ۲، نخستین فضاپیمایی که یک موجود زنده را به فضا برد توسط اتحاد جماهیر شوروی پرتاب شد.,اسپوتنیک ۲، نخستین فضاپیمایی که یک موجود زنده را به فضا برد توسط اتحاد جماهیر شوروی پرتاب شد.
زادروز آمارتیا سن برندهٔ هندی جایزه نوبل اقتصاد,زادروز آمارتیا سن برندهٔ هندی جایزه نوبل اقتصاد
الیمپ دگوژ نمایشنامه‌ نویس، فعال سیاسی و طرفدار الغای برده‌داری از نخستین فمنیست‌های اعدام شده است,الیمپ دگوژ نمایشنامه‌ نویس، فعال سیاسی و طرفدار الغای برده‌داری از نخستین فمنیست‌های اعدام شده است
روز دانش آموز,روز دانش آموز
تولد فردریک بانتینگ کاشف انسولین,تولد فردریک بانتینگ کاشف انسولین
درگذشت نورمن فاستر رمزی ، فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۹ به همراه هانس جرج دهملت و ولفگانگ پل,درگذشت نورمن فاستر رمزی ، فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۸۹ به همراه هانس جرج دهملت و ولفگانگ پل
درگذشت مایکل کرایتون نویسنده، کارگردان، فیلم نامه نویس، پزشک و تهیه کننده تلویزیونی,درگذشت مایکل کرایتون نویسنده، کارگردان، فیلم نامه نویس، پزشک و تهیه کننده تلویزیونی
روز فرهنگ عمومی,روز فرهنگ عمومی
زادروز محمدرضا اسحاقی گرجی، نوازنده و موسیقی‌دان مازندرانی,زادروز محمدرضا اسحاقی گرجی، نوازنده و موسیقی‌دان مازندرانی
زادروز پل ساباتیه شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲,زادروز پل ساباتیه شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲
درگذشت آیزایا برلین فیلسوف سیاسی، اندیشه‌نگار و نظریه‌پرداز سیاسی بریتانیایی,درگذشت آیزایا برلین فیلسوف سیاسی، اندیشه‌نگار و نظریه‌پرداز سیاسی بریتانیایی
جشن میانه پاییز,جشن میانه پاییز
آبراهام لینکلن برای یک دوره چهارساله به ریاست جمهوری ایالات متحده انتخاب شد، دوران ریاست جمهوری او، شاهد تجزیه ایالات جنوبی، آغاز جنگ داخلی و لغو برده‌داری بود.,آبراهام لینکلن برای یک دوره چهارساله به ریاست جمهوری ایالات متحده انتخاب شد، دوران ریاست جمهوری او، شاهد تجزیه ایالات جنوبی، آغاز جنگ داخلی و لغو برده‌داری بود.
درگذشت هانس فون اوبر شلپین بیوشیمیست آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۲۹,درگذشت هانس فون اوبر شلپین بیوشیمیست آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۲۹
تولد ماری کوری کاشف پولونیم و رادیوم,تولد ماری کوری کاشف پولونیم و رادیوم
زادروز ماری کوری فیزیکدان و شیمی‌دان لهستانی,زادروز ماری کوری فیزیکدان و شیمی‌دان لهستانی
زادروز ماری کوری فیزیکدان و شیمی‌دان لهستانی,زادروز ماری کوری فیزیکدان و شیمی‌دان لهستانی
زادروز محمدتقی بهار ملقب به ملک‌الشعرا، شاعر، ادیب، نویسنده و سیاست‌مدار ایرانی,زادروز محمدتقی بهار ملقب به ملک‌الشعرا، شاعر، ادیب، نویسنده و سیاست‌مدار ایرانی
زادروز ماری کوری ، فیزیکدان و شیمیدان لهستانی، برندهٔ جایزه نوبل فیزیک سال۱۹۰۳ و جایزه نوبل شیمی سال ۱۹۱۱، همسر پیر کوری,زادروز ماری کوری ، فیزیکدان و شیمیدان لهستانی، برندهٔ جایزه نوبل فیزیک سال۱۹۰۳ و جایزه نوبل شیمی سال ۱۹۱۱، همسر پیر کوری
درگذشت استیو مک‌کوئین بازیگر آمریکایی، برندهٔ جایزه اسکار,درگذشت استیو مک‌کوئین بازیگر آمریکایی، برندهٔ جایزه اسکار
روز ملی کیفیت,روز ملی کیفیت
زادروز کریستف کلمب تاجر و دریانورد اسپانیایی,زادروز کریستف کلمب تاجر و دریانورد اسپانیایی
زادروز محمد اقبال شاعر و فیلسوف بزرگ زبان فارسی,زادروز محمد اقبال شاعر و فیلسوف بزرگ زبان فارسی
تأسیس پلیس صلح بین‌ الملل,تأسیس پلیس صلح بین‌ الملل
زادروز فریدریش شیلر  نمایش‌نامه‌نویس و شاعر آلمانی,زادروز فریدریش شیلر  نمایش‌نامه‌نویس و شاعر آلمانی
زادروز فیودور میخاییلوویچ داستایوسکی نویسندهٔ سرشناس و تأثیرگذار روس، خالق رمان جنایت و مکافات و برادران کارامازوف,زادروز فیودور میخاییلوویچ داستایوسکی نویسندهٔ سرشناس و تأثیرگذار روس، خالق رمان جنایت و مکافات و برادران کارامازوف
درگذشت آرتوری ایلماری ویرتانن شیمیدان فنلاندی، برندهٔ جایزه نوبل شیمی سال ۱۹۴۵,درگذشت آرتوری ایلماری ویرتانن شیمیدان فنلاندی، برندهٔ جایزه نوبل شیمی سال ۱۹۴۵
زادروز نیما یوشیج پدر شعر نو پارسی,زادروز نیما یوشیج پدر شعر نو پارسی
زادروز جان استرات ، فیزیکدان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۴,زادروز جان استرات ، فیزیکدان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۴
درگذشت هاراطون داویدیان بنیانگذار روانپزشکی درایران,درگذشت هاراطون داویدیان بنیانگذار روانپزشکی درایران
زادروز ادوارد دویسی زیست‌شیمیدان آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۳,زادروز ادوارد دویسی زیست‌شیمیدان آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۳
زادروز رابرت لویی استیونسن نویسندهٔ اسکاتلندی، خالق جزیره گنج و دکتر جکیل و آقای هاید,زادروز رابرت لویی استیونسن نویسندهٔ اسکاتلندی، خالق جزیره گنج و دکتر جکیل و آقای هاید
روز جهانی دیابت,روز جهانی دیابت
درگذشت سعید نفیسی، نویسنده، ادیب، تاریخ‌نگار، مترجم و شاعر ایرانی,درگذشت سعید نفیسی، نویسنده، ادیب، تاریخ‌نگار، مترجم و شاعر ایرانی
روز کتاب و کتابخوانی,روز کتاب و کتابخوانی
درگذشت هنری تاب شیمیدان آمریکایی کانادایی، برندهٔ جایزه نوبل شیمی سال ۱۹۸۳,درگذشت هنری تاب شیمیدان آمریکایی کانادایی، برندهٔ جایزه نوبل شیمی سال ۱۹۸۳
